year,to_country,performer,song,place_contest,sf_num,running_final,running_sf,place_final,points_final,place_sf,points_sf,points_tele_final,points_jury_final,points_tele_sf,points_jury_sf
1961,Switzerland,Franca di Rienzo,Nous Aurons Demain,3,,10,,3,16,,,,,,
1961,France,Jean-Paul Mauric,Printemps (avril Carillonne),4,,9,,4,13,,,,,,
1961,Denmark,Dario Campeotto,Angelique,5,,13,,5,12,,,,,,
1961,Italy,Betty Curtis,Al Di Là,5,,16,,5,12,,,,,,
1961,Norway,Nora Brockstedt,Sommer i Palma,7,,12,,7,10,,,,,,
1961,Yugoslavia,Ljiljana Petrović,Neke Davne Zvezde,8,,5,,8,9,,,,,,
1961,Spain,Conchita Bautista,Estando Contigo,9,,1,,9,8,,,,,,
1961,Monaco,Colette Deréal,"Allons, Allons Les Enfants",10,,2,,10,6,,,,,,
1961,Finland,Laila Kinnunen,Valoa Ikkunassa,10,,4,,10,6,,,,,,
1961,Netherlands,Greetje Kauffeld,Wat Een Dag,10,,6,,10,6,,,,,,
1961,Germany,Lale Andersen,Einmal Sehen Wir Uns Wieder,13,,8,,13,3,,,,,,
1961,Sweden,Lill-Babs,"April, April",14,,7,,14,2,,,,,,
1961,Austria,Jimmy Makulis,Sehnsucht,15,,3,,15,1,,,,,,
1961,Belgium,Bob Benny,"September, Gouden Roos",15,,11,,15,1,,,,,,
1962,France,Isabelle Aubret,Un Premier Amour,1,,9,,1,26,,,,,,
1962,Monaco,François Deguelt,Dis Rien,2,,16,,2,13,,,,,,
1962,Luxembourg,Camillo Felgen,Petit Bonhomme,3,,14,,3,11,,,,,,
1962,Yugoslavia,Lola Novaković,Ne Pali Svetlo U Sumrak,4,,12,,4,10,,,,,,
1962,United Kingdom,Ronnie Carroll,Ring-a-ding Girl,4,,13,,4,10,,,,,,
1962,Germany,Conny Froboess,Zwei Kleine Italiener,6,,7,,6,9,,,,,,
1962,Finland,Marion Rung,Tipi-tii,7,,1,,7,4,,,,,,
1962,Sweden,Inger Berggren,Sol Och Vår,7,,6,,7,4,,,,,,
1962,Italy,Claudio Villa,"Addio, Addio",9,,15,,9,3,,,,,,
1962,Denmark,Ellen Winther,Vuggevise,10,,5,,10,2,,,,,,
1962,Norway,Inger Jacobsen,"Kom Sol, Kom Regn",10,,10,,10,2,,,,,,
1962,Switzerland,Jean Philippe,Le Retour,10,,11,,10,2,,,,,,
1962,Belgium,Fud Leclerc,Ton Nom,13,,2,,13,0,,,,,,
1962,Spain,Victor Balaguer,Llámame,13,,3,,13,0,,,,,,
1962,Austria,Eleonore Schwarz,Nur In Der Wiener Luft,13,,4,,13,0,,,,,,
1962,Netherlands,De Spelbrekers,Katinka,13,,8,,13,0,,,,,,
1963,Denmark,Grethe & Jørgen Ingmann,Dansevise,1,,8,,1,42,,,,,,
1963,Switzerland,Esther Ofarim,T'en Va Pas,2,,10,,2,40,,,,,,
1963,Italy,Emilio Pericoli,Uno Per Tutte,3,,6,,3,37,,,,,,
1963,United Kingdom,Ronnie Carroll,Say Wonderful Things,4,,1,,4,28,,,,,,
1963,France,Alain Barrière,Elle était Si Jolie,5,,11,,5,25,,,,,,
1963,Monaco,Françoise Hardy,L'amour S'en Va,5,,15,,5,25,,,,,,
1963,Austria,Carmela Corren,Vielleicht Geschieht Ein Wunder,7,,4,,7,16,,,,,,
1963,Luxembourg,Nana Mouskouri,A Force De Prier,8,,16,,8,13,,,,,,
1963,Germany,Heidi Brühl,Marcel,9,,3,,9,5,,,,,,
1963,Belgium,Jacques Raymond,Waarom,10,,14,,10,4,,,,,,
1963,Yugoslavia,Vice Vukov,Brodovi,11,,9,,11,3,,,,,,
1963,Spain,José Guardiola,Algo Prodigioso,12,,12,,12,2,,,,,,
1963,Netherlands,Annie Palmen,Een Speeldoos,13,,2,,13,0,,,,,,
1963,Norway,Anita Thallaug,Solhverv,13,,5,,13,0,,,,,,
1963,Finland,Laila Halme,Muistojeni Laulu,13,,7,,13,0,,,,,,
1963,Sweden,Monica Zetterlund,En Gång I Stockholm,13,,13,,13,0,,,,,,
1964,Italy,Gigliola Cinquetti,Non Ho L'étà,1,,12,,1,49,,,,,,
1964,United Kingdom,Matt Monro,I Love The Little Things,2,,8,,2,17,,,,,,
1964,Monaco,Romuald,Où Sont-elles Passées?,3,,10,,3,15,,,,,,
1964,Luxembourg,Hugues Aufray,Dès Que Le Printemps Revient,4,,1,,4,14,,,,,,
1964,France,Rachel,Le Chant De Mallory,4,,7,,4,14,,,,,,
1964,Austria,Udo Jürgens,"Warum Nur, Warum?",6,,6,,6,11,,,,,,
1964,Finland,Lasse Mårtenson,Laiskotellen,7,,5,,7,9,,,,,,
1964,Norway,Arne Bendiksen,Spiral,8,,3,,8,6,,,,,,
1964,Denmark,Bjørn Tidmand,Sangen Om Dig,9,,4,,9,4,,,,,,
1964,Netherlands,Anneke Grönloh,Jij Bent Mijn Leven,10,,2,,10,2,,,,,,
1964,Belgium,Robert Cogoi,Près De Ma Rivière,10,,15,,10,2,,,,,,
1964,Spain,"Tim, Nelly and Tony",Caracola,12,,16,,12,1,,,,,,
1964,Germany,Nora Nova,Man Gewöhnt Sich So Schnell An Das Schöne,13,,9,,13,0,,,,,,
1964,Portugal,António Calvário,Oração,13,,11,,13,0,,,,,,
1964,Yugoslavia,Sabahudin Kurt,Život je sklopio krug,13,,13,,13,0,,,,,,
1964,Switzerland,Anita Traversi,I Miei Pensieri,13,,14,,13,0,,,,,,
1965,Luxembourg,France Gall,"Poupée De Cire, Poupée De Son",1,,15,,1,32,,,,,,
1965,United Kingdom,Kathy Kirby,I Belong,2,,2,,2,26,,,,,,
1965,France,Guy Mardel,N'avoue Jamais,3,,11,,3,22,,,,,,
1965,Austria,Udo Jürgens,"Sag Ihr, Ich Lass' Sie Grüßen",4,,6,,4,16,,,,,,
1965,Italy,Bobby Solo,"Se Piangi, Se Ridi",5,,13,,5,15,,,,,,
1965,Ireland,Butch Moore,I'm Walking The Streets In The Rain,6,,4,,6,11,,,,,,
1965,Denmark,Birgit Brüel,For Din Skyld,7,,14,,7,10,,,,,,
1965,Switzerland,Yovanna,Non à Jamais Sans Toi,8,,18,,8,8,,,,,,
1965,Monaco,Marjorie Noël,Va Dire à L'amour,9,,9,,9,7,,,,,,
1965,Sweden,Ingvar Wixell,Absent Friend,10,,10,,10,6,,,,,,
1965,Netherlands,Conny Van den bos,Het Is Genoeg,11,,1,,11,5,,,,,,
1965,Yugoslavia,Vice Vukov,Ceznja,12,,17,,12,2,,,,,,
1965,Norway,Kirsti Sparboe,Karusell,13,,7,,13,1,,,,,,
1965,Portugal,Simone de Oliviera,Sol De Inverno,13,,12,,13,1,,,,,,
1965,Spain,Conchita Bautista,"Qué Bueno, Qué Bueno",15,,3,,15,0,,,,,,
1965,Germany,Ulla Wiesner,"Paradies, Wo Bist Du?",15,,5,,15,0,,,,,,
1965,Belgium,Lize Marke,Als Het Weer Lente Is,15,,8,,15,0,,,,,,
1965,Finland,Viktor Klimenko,Aurinko Laskee Länteen,15,,16,,15,0,,,,,,
1966,Austria,Udo Jürgens,Merci Chérie,1,,9,,1,31,,,,,,
1966,Sweden,Lill Lindfors & Svante Thuresson,Nygammal Vals,2,,10,,2,16,,,,,,
1966,Norway,Åse Kleveland,Intet Er Nytt Under Solen,3,,6,,3,15,,,,,,
1966,Belgium,Tonia,"Un Peu De Poivre, Un Peu De Sel",4,,3,,4,14,,,,,,
1966,Ireland,Dickie Rock,Come Back To Stay,4,,17,,4,14,,,,,,
1966,Switzerland,Madeleine Pascal,Ne Vois-tu Pas?,6,,12,,6,12,,,,,,
1966,Yugoslavia,Berta Ambroz,Brez Besed,7,,5,,7,9,,,,,,
1966,Spain,Raphael,Yo Soy Aquél,7,,11,,7,9,,,,,,
1966,United Kingdom,Kenneth McKellar,A Man Without Love,9,,18,,9,8,,,,,,
1966,Germany,Margot Eskens,Die Zeiger Der Uhr,10,,1,,10,7,,,,,,
1966,Luxembourg,Michèle Torr,Ce Soir Je T'attendais,10,,4,,10,7,,,,,,
1966,Finland,Ann-Christine Nyström,Play-boy,10,,7,,10,7,,,,,,
1966,Portugal,Madalena Iglesias,Ele E Ela,13,,8,,13,6,,,,,,
1966,Denmark,Ulla Pia,"Stop, Ja Stop - Ja Stop, Mens Legen Er Go",14,,2,,14,4,,,,,,
1966,Netherlands,Milly Scott,Fernando En Philippo,15,,16,,15,2,,,,,,
1966,France,Dominique Walter,Chez Nous,16,,15,,16,1,,,,,,
1966,Monaco,Tereza,Bien Plus Fort,17,,13,,17,0,,,,,,
1966,Italy,Domenico Modugno,Dio Come Ti Amo,17,,14,,17,0,,,,,,
1967,United Kingdom,Sandie Shaw,Puppet On A String,1,,11,,1,47,,,,,,
1967,Ireland,Sean Dunphy,If I Could Choose,2,,17,,2,22,,,,,,
1967,France,Noëlle Cordier,Il Doit Faire Beau Là-bas,3,,4,,3,20,,,,,,
1967,Luxembourg,Vicky,L'amour Est Bleu,4,,2,,4,17,,,,,,
1967,Monaco,Minouche Barelli,Boum-badaboum,5,,14,,5,10,,,,,,
1967,Spain,Raphael,Hablemos Del Amor,6,,12,,6,9,,,,,,
1967,Belgium,Louis Neefs,Ik Heb Zorgen,7,,10,,7,8,,,,,,
1967,Sweden,Östen Warnerbring,Som En Dröm,8,,7,,8,7,,,,,,
1967,Germany,Inge Brück,Anouschka,8,,9,,8,7,,,,,,
1967,Yugoslavia,Lado Leskovar,Vse Rože Sveta,8,,15,,8,7,,,,,,
1967,Italy,Claudio Villa,Non Andare Più Lontano,11,,16,,11,4,,,,,,
1967,Portugal,Eduardo Nascimento,O Vento Mudou,12,,5,,12,3,,,,,,
1967,Finland,Fredi,Varjoon-suojaan,12,,8,,12,3,,,,,,
1967,Netherlands,Thérèse Steinmetz,Ring-dinge,14,,1,,14,2,,,,,,
1967,Austria,Peter Horten,Warum Es Hunderttausend Sterne Gibt,14,,3,,14,2,,,,,,
1967,Norway,Kirsti Sparboe,Dukkemann,14,,13,,14,2,,,,,,
1967,Switzerland,Géraldine,Quel Cœur Vas-tu Briser?,17,,6,,17,0,,,,,,
1968,Spain,Massiel,"La, La, La...",1,,15,,1,29,,,,,,
1968,United Kingdom,Cliff Richard,Congratulations,2,,12,,2,28,,,,,,
1968,France,Isabelle Aubret,La Source,3,,10,,3,20,,,,,,
1968,Ireland,Pat McGeegan,Chance Of A Lifetime,4,,14,,4,18,,,,,,
1968,Sweden,Claes-Göran Hederström,"Det Börjar Verka Kärlek, Banne Mej",5,,8,,5,15,,,,,,
1968,Germany,Wencke Myhre,Ein Hoch Der Liebe,6,,16,,6,11,,,,,,
1968,Belgium,Claude Lombard,Quand Tu Reviendras,7,,3,,7,8,,,,,,
1968,Monaco,Line & Willy,A Chacun Sa Chanson,7,,7,,7,8,,,,,,
1968,Yugoslavia,Luci Kapurso & Hamo Hajdarhodzic,Jedan Dan,7,,17,,7,8,,,,,,
1968,Italy,Sergio Endrigo,Marianne,10,,11,,10,7,,,,,,
1968,Portugal,Carlos Mendes,Verão,11,,1,,11,5,,,,,,
1968,Luxembourg,Chris Baldo & Sophie Garel,Nous Vivrons D'amour,11,,5,,11,5,,,,,,
1968,Austria,Karel Gott,Tausend Fenster,13,,4,,13,2,,,,,,
1968,Switzerland,Gianni Mascolo,Guardando Il Sole,13,,6,,13,2,,,,,,
1968,Norway,Odd Børre,Stress,13,,13,,13,2,,,,,,
1968,Netherlands,Ronnie Tober,Morgen,16,,2,,16,1,,,,,,
1968,Finland,Kristina Hautala,Kun Kello Käy,16,,9,,16,1,,,,,,
1969,Spain,Salomé,Vivo Cantando,1,,3,,1,18,,,,,,
1969,United Kingdom,Lulu,Boom Bang-a-bang,1,,7,,1,18,,,,,,
1969,Netherlands,Lenny Kuhr,De Troubadour,1,,8,,1,18,,,,,,
1969,France,Frida Boccara,"Un Jour, Un Enfant",1,,14,,1,18,,,,,,
1969,Switzerland,Paola del Medico,"Bonjour, Bonjour",5,,11,,5,13,,,,,,
1969,Monaco,Jean-Jacques,"Maman, Maman",6,,4,,6,11,,,,,,
1969,Ireland,Muriel Day and the Lindsays,The Wages Of Love,7,,5,,7,10,,,,,,
1969,Belgium,Louis Neefs,Jennifer Jennings,7,,10,,7,10,,,,,,
1969,Sweden,Tommy Körberg,"Judy, Min Vän",9,,9,,9,8,,,,,,
1969,Germany,Siw Malmkvist,Primaballerina,9,,13,,9,8,,,,,,
1969,Luxembourg,Romuald,Cathérine,11,,2,,11,7,,,,,,
1969,Finland,Jarkko and Laura,Kuin Silloin Ennen,12,,16,,12,6,,,,,,
1969,Yugoslavia,Ivan & M's,Pozdrav Svijetu,13,,1,,13,5,,,,,,
1969,Italy,Iva Zanicchi,Due Grosse Lacrime Bianche,13,,6,,13,5,,,,,,
1969,Portugal,Simone de Oliveira,Desfolhada Portuguesa,15,,15,,15,4,,,,,,
1969,Norway,Kirsti Sparboe,"Oj, Oj, Oj, Så Glad, Jeg Skal Bli",16,,12,,16,1,,,,,,
1970,Ireland,Dana,All Kinds Of Everything,1,,12,,1,32,,,,,,
1970,United Kingdom,Mary Hopkin,"Knock, Knock (who's there?)",2,,7,,2,26,,,,,,
1970,Germany,Katja Ebstein,Wunder Gibt Es Immer Wieder,3,,11,,3,12,,,,,,
1970,Switzerland,Henri Dès,Retour,4,,2,,4,8,,,,,,
1970,France,Guy Bonnet,Marie Blanche,4,,6,,4,8,,,,,,
1970,Spain,Julio Iglesias,Gwendolyne,4,,9,,4,8,,,,,,
1970,Netherlands,Patricia and Hearts of Soul,Waterman,7,,1,,7,7,,,,,,
1970,Italy,Gianni Morandi,Occhi Di Ragazza,8,,3,,8,5,,,,,,
1970,Belgium,Jean Vallée,Viens L'oublier,8,,5,,8,5,,,,,,
1970,Monaco,Dominique Dussault,Marlène,8,,10,,8,5,,,,,,
1970,Yugoslavia,Eva Sršen,"Pridi, Dala Ti Bom Cvet",11,,4,,11,4,,,,,,
1970,Luxembourg,David-Alexandre Winter,Je Suis Tombé Du Ciel,12,,8,,12,0,,,,,,
1971,Monaco,Séverine,"Un Banc, Un Arbre, Une Rue",1,,3,,1,128,,,,,,
1971,Spain,Karina,En Un Mundo Nuevo,2,,6,,2,116,,,,,,
1971,Germany,Katja Ebstein,Diese Welt,3,,5,,3,100,,,,,,
1971,United Kingdom,Clodagh Rodgers,Jack In The Box,4,,9,,4,98,,,,,,
1971,Italy,Massimo Ranieri,L'amore è Un Attimo,5,,11,,5,91,,,,,,
1971,Sweden,Family Four,Vita Vidder,6,,12,,6,85,,,,,,
1971,Netherlands,Saskia and Serge,De Tijd,6,,14,,6,85,,,,,,
1971,Finland,Markku Aro and Koivisto Sisters,Tie Uuteen Päivään,8,,17,,8,84,,,,,,
1971,Portugal,Tonicha,Menina Do Alto Da Serra,9,,15,,9,83,,,,,,
1971,France,Serge Lama,Un Jardin Sur La Terre,10,,7,,10,82,,,,,,
1971,Ireland,Angela Farrell,One Day Love,11,,13,,11,79,,,,,,
1971,Switzerland,"Peter, Sue and Marc",Les Illusions De Nos Vingt Ans,12,,4,,12,78,,,,,,
1971,Luxembourg,Monique Melsen,"Pomme, Pomme, Pomme",13,,8,,13,70,,,,,,
1971,Belgium,Lily Castel and Jacques Raymond,"Goeie Morgen, Morgen",14,,10,,14,68,,,,,,
1971,Yugoslavia,Krunoslav Slabinac,Tvoj Djecak Je Tuzan,14,,16,,14,68,,,,,,
1971,Austria,Marianne Mendt,Musik,16,,1,,16,66,,,,,,
1971,Norway,Hanne Krogh,Lykken Er...,17,,18,,17,65,,,,,,
1971,Malta,Joe Grech,Marija L-Maltija,18,,2,,18,52,,,,,,
1972,Luxembourg,Vicky Leandros,Après Toi,1,,17,,1,128,,,,,,
1972,United Kingdom,The New Seekers,"Beg, Steal Or Borrow",2,,5,,2,114,,,,,,
1972,Germany,Mary Roos,Nur Die Liebe Läßt Uns Leben,3,,1,,3,107,,,,,,
1972,Netherlands,Sandra and Andres,Als Het Om De Liefde Gaat,4,,18,,4,106,,,,,,
1972,Austria,The Milestones,Falter Im Wind,5,,11,,5,100,,,,,,
1972,Italy,Nicola di Bari,I Giorni Dell' Arcobaleno,6,,12,,6,92,,,,,,
1972,Portugal,Carlos Mendes,A Festa Da Vida,7,,7,,7,90,,,,,,
1972,Switzerland,Véronique Müller,C'est La Chanson De Mon Amour,8,,8,,8,88,,,,,,
1972,Yugoslavia,Tereza,Muzika I Ti,9,,13,,9,87,,,,,,
1972,Spain,Jaime Morey,Amanece,10,,4,,10,83,,,,,,
1972,France,Betty Mars,Comé-comédie,11,,2,,11,81,,,,,,
1972,Finland,Päivi Paunu and Kim Floor,Muistathan,12,,10,,12,78,,,,,,
1972,Sweden,Family Four,Härliga Sommardag,13,,14,,13,75,,,,,,
1972,Norway,Grethe Kausland & Benny Borg,Småting,14,,6,,14,73,,,,,,
1972,Ireland,Sandie Jones,Ceol On Ghrá,15,,3,,15,72,,,,,,
1972,Monaco,Anne-Marie Godart and Peter MacLane,Comme On S'aime,16,,15,,16,65,,,,,,
1972,Belgium,Serge and Christine Ghisoland,À La Folie Ou Pas Du Tout,17,,16,,17,55,,,,,,
1972,Malta,Helen and Joseph,L-imħabba,18,,9,,18,48,,,,,,
1973,Luxembourg,Anne-Marie David,Tu Te Reconnaîtras,1,,11,,1,129,,,,,,
1973,Spain,Mocedades,Eres Tú,2,,7,,2,125,,,,,,
1973,United Kingdom,Cliff Richard,Power To All Our Friends,3,,15,,3,123,,,,,,
1973,Israel,Ilanit,Ey-sham,4,,17,,4,97,,,,,,
1973,Sweden,The Nova and The Dolls,You're Summer,5,,12,,5,94,,,,,,
1973,Finland,Marion Rung,Tom Tom Tom,6,,1,,6,93,,,,,,
1973,Norway,Bendik Singers,It's Just A Game,7,,5,,7,89,,,,,,
1973,Germany,Gitte,Junger Tag,8,,4,,8,85,,,,,,
1973,Monaco,Marie,Un Train Qui Part,8,,6,,8,85,,,,,,
1973,Portugal,Fernando Tordo,Tourada,10,,3,,10,80,,,,,,
1973,Ireland,Maxi,Do I Dream?,10,,14,,10,80,,,,,,
1973,Switzerland,Patrick Juvet,"Je Me Vais Marier, Marie",12,,8,,12,79,,,,,,
1973,Italy,Massimo Ranieri,Chi Sarà Con Te,13,,10,,13,74,,,,,,
1973,Netherlands,Ben Cramer,De Oude Muzikant,14,,13,,14,69,,,,,,
1973,Yugoslavia,Zdravko Colic,Gori Vatra,15,,9,,15,65,,,,,,
1973,France,Martine Clémenceau,Sans Toi,15,,16,,15,65,,,,,,
1973,Belgium,Nicole and Hugo,"Baby, Baby",17,,2,,17,58,,,,,,
1974,Sweden,ABBA,Waterloo,1,,8,,1,24,,,,,,
1974,Italy,Gigliola Cinquetti,Si,2,,17,,2,18,,,,,,
1974,Netherlands,Mouth and MacNeal,I See A Star,3,,12,,3,15,,,,,,
1974,United Kingdom,Olivia Newton-John,Long Live Love,4,,2,,4,14,,,,,,
1974,Luxembourg,Ireen Sheer,"Bye, Bye, I Love You",4,,9,,4,14,,,,,,
1974,Monaco,Romuald,Celui Qui Reste Et Celui Qui S'en Va,4,,10,,4,14,,,,,,
1974,Israel,Kaveret (Poogy),Natati La Khayay,7,,6,,7,11,,,,,,
1974,Ireland,Tina,Cross Your Heart,7,,13,,7,11,,,,,,
1974,Spain,Peret,Canta Y Se Feliz,9,,3,,9,10,,,,,,
1974,Belgium,Jacques Hustin,Fleur De Liberté,9,,11,,9,10,,,,,,
1974,Greece,Marinella,"Krassi, Thalassa Ke T'agori Mou",11,,5,,11,7,,,,,,
1974,Yugoslavia,Korni,Moja Generacija,12,,7,,12,6,,,,,,
1974,Finland,Carita,Äla Mene Pois (keep Me Warm),13,,1,,13,4,,,,,,
1974,Norway,Anne-Karine Ström and the Bendik Singers,The First Day Of Love,14,,4,,14,3,,,,,,
1974,Germany,Cindy und Bert,Die Sommermelodie,14,,14,,14,3,,,,,,
1974,Switzerland,Piera Martell,Mein Ruf Nach Dir,14,,15,,14,3,,,,,,
1974,Portugal,Paulo de Carvalho,E Depois Do Adeus,14,,16,,14,3,,,,,,
1975,Netherlands,Teach-In,Ding-A-Dong,1,,1,,1,152,,,,,,
1975,United Kingdom,The Shadows,Let Me Be The One,2,,9,,2,138,,,,,,
1975,Italy,Wess & Dori Ghezzi,Era,3,,19,,3,115,,,,,,
1975,France,Nicole Rieu,Et Bonjour à Toi L'artiste,4,,3,,4,91,,,,,,
1975,Luxembourg,Géraldine,Toi,5,,5,,5,84,,,,,,
1975,Switzerland,Simone Drexel,Mikado,6,,7,,6,77,,,,,,
1975,Finland,Pihasoittajat,Old Man Fiddle,7,,15,,7,74,,,,,,
1975,Sweden,Lars Berghagen and the Dolls,"Jennie, Jennie",8,,18,,8,72,,,,,,
1975,Ireland,The Swarbriggs,That's What Friends Are For,9,,2,,9,68,,,,,,
1975,Spain,Sergio & Estíbaliz,Tú Volverás,10,,17,,10,53,,,,,,
1975,Israel,Shlomo Artzi,At Va'Ani,11,,12,,11,40,,,,,,
1975,Malta,Renato,Singing This Song,12,,10,,12,32,,,,,,
1975,Yugoslavia,Pepel In Kri,Dan Ljubezni,13,,8,,13,22,,,,,,
1975,Monaco,Sophie,Une Chanson C'est Une Lettre,13,,14,,13,22,,,,,,
1975,Belgium,Ann Christy,Gelukkig Zijn,15,,11,,15,17,,,,,,
1975,Portugal,Duarte Mendes,Madrugada,16,,16,,16,16,,,,,,
1975,Germany,Joy Fleming,Ein Lied Kann Eine Brücke Sein,17,,4,,17,15,,,,,,
1975,Norway,Ellen Nikolaysen,You Touched My Life With Summer,18,,6,,18,11,,,,,,
1975,Turkey,Semiha Yanki,Seninle Bir Dakika,19,,13,,19,3,,,,,,
1976,United Kingdom,Brotherhood of Man,Save Your Kisses For Me,1,,1,,1,164,,,,,,
1976,France,Catherine Ferry,"Un, Deux, Trois",2,,17,,2,147,,,,,,
1976,Monaco,Mary Christy,"Toi, La Musique Et Moi",3,,16,,3,93,,,,,,
1976,Switzerland,"Peter, Sue and Marc","Djambo, Djambo",4,,2,,4,91,,,,,,
1976,Austria,Waterloo and Robinson,My Little World,5,,14,,5,80,,,,,,
1976,Israel,"Chocolate, Menta, Mastik",Emor Shalom,6,,4,,6,77,,,,,,
1976,Italy,Romina and Al Bano,We'll Live It All Again,7,,13,,7,69,,,,,,
1976,Belgium,Pierre Rapsat,Judy Et Cie.,8,,6,,8,68,,,,,,
1976,Netherlands,Sandra Reemer,The Party's Over Now,9,,8,,9,56,,,,,,
